cat1,cat2,name,raised,desc,ticker,start,end,www
Health,,ambrosus,1,"Combining high-tech sensors, blockchain protocol and smart contracts, we are building a universally verifiable, community-driven ecosystem to assure the quality, safety & origins of products.",AMB,22nd Sep 2017,22nd Oct 2017,https://ambrosus.com
Art,,fresco,1,"Through blockchain technology, FRESCO enables artists, investors, dealers, galleries, and administrators around the world to demonstrate their artworks and evaluate collection strength, eventually creating an efficient and intuitive art value measurement system. FRESCO tokens (FRES) represent the level of trust distributed to each artwork.",FRES,21st Mar 2018,15th Apr 2018,http://fresco.work
Business services,,gotoken,1,"After 23 years of experience as a main international player in the mobility services, ParkinGo is developing its blockchain project based on ERC20 to provide the best experience for its + 2,5 millions of customers. ParkinGO aims to become one of the first service company to activate its own token in its real services: 1.To empower transparency with customer 2.Thanks to the ICO, ParkinGO will have the necessary funds to develop a perfect technological system that will enhance the capacity of our business 3.To convert many fundamental processes into blockchain within 5 years 4.The funds raised during the ICO process will be used to develop the perfect blockchain system for our customers to use AND also to expand our business worldwide and to consolidate our presence in the countries where we already operate in Europe 5.Then everyone benefits and everyone is happy: Broadening the range of services offered; the most important being the car rental and P2P car sharing platform, GetMyCar","GOT Token""",12th Jun 2018,3rd Jul 2018,https://parkingo.io/it
Electronics,,sirin labs,1,"SIRIN LABS’ vision is to become the world’s leader in secure open source consumer electronics, bridging the gap between the mass market and the blockchain economy. SIRIN LABS - the developer of SOLARIN, an ultra-secure mobile phone - is holding a crowdsale event. Funds raised will support the development of FINNEY™, the first open source blockchain smartphone and all-in-one PC.",SRN,12th Dec 2017,26th Dec 2017,https://sirinlabs.com
Business services,,te-food,1,"TE-FOOD is the world's largest publicly accessible, farm-to-table food traceability system. It's a ready product with live operation. Started in 2016, it serves more than 6000 business customers, and handles 400,000 transactions each day.TE-FOOD is the only fresh food ecosystem which integrates supply chain companies, consumers, and governments/authorities to improve food safety, eliminate food frauds, and decrease costs of the supply chain companies. TE-FOOD's main focus is on the emerging countries, which account for 60% of the world's population, but need massive technological disruption because of the level of distrust in their food supply chains.",TFOOD,22nd Feb 2018,22nd Mar 2018,https://ico.tefoodint.com
Cryptocurrency,,jibrel network,1,"The jibrel network allows anyone to digitize, list, trade and sell traditional assets, such as currencies, bonds and other instruments, on-chain.",JNT,27th Nov 2017,1st Jan 2018,https://jibrel.network
Cryptocurrency,,swissborg,1,The SwissBorg project aim to revolutionize wealth management solutions with a community centric approach powered by Ethereum.,CHSB,7th Dec 2017,10th Jan 2018,https://swissborg.com/en
Platform,,utrust,1,UTRUST is a revolutionary payment platform that empowers buyers providing a groundbreaking purchase protection mechanism.,UTK,2nd Nov 2017,20th Nov 2017,https://utrust.io
Retail,,bitboost,1,"The Block is a fully decentralised e-commerce marketplace, designed for privacy and low fees. It takes the form of a standalone app based on Ethereum’s smart contracts and uses the ETH currency for all payments except merchant listings. As a global application with minimal technical requirements for users, this is free trade at its most free. BitBoost’s aim is to facilitate truly free trade on a global scale. Building on the work of almost three years, The Block is their solution: a totally peer-to-peer e-commerce experience, without unnecessary costs, geographical limitations or arbitrary restrictions.",BBT,10th Oct 2017,4th Nov 2017,https://www.bitboost.net
Infrastructure,,dav,1,"DAV is a blockchain-based transportation protocol that enables a decentralized, peer to peer, global transportation network. Our underlying infrastructure enables vehicles to discover, communicate, and transact with one another using DAV tokens. DAV’s advisors and team comes from some of the best brands in the world, including several Ethereum veterans, the former CTO at General Motors, Nasa astronauts, and additional executives from the likes of SAP, UPS, Equinix, IBM, Cisco, and Google. We've been acknowledged with ratings exceeding 90% from top reviewers such as TheGobOne and Rocket Fuel Capital, and have been featured in Forbes Magazine, VICE, and CoinDesk. We already have several working prototypes with partners across the transportation industry and are launch.",DAV,11th Jun 2018,25th Jun 2018,https://dav.network
Business services,,grain.io,1,Grain processes work agreements on the blockchain and has an instant payment mechanism. It helps companies save billions of euros/dollars annually in middleman services and payment processing costs. Grain is a backend solution that allows labor management systems and freelancer platforms to integrate smart contract and financial transactions on the blockchain.,GRAIN,16th Apr 2018,7th May 2018,https://grain.io
Big Data,,ip sharing exchange,1,"IPSX is the first truly decentralized IP Sharing Exchange, that will create a global IP marketplace. Combined with flexible tools (SDKs and APIs) to aid entrepreneurs and developers, in a fully secured and transparent environment, IPSX will enable the development of new applications on top of already existing IPs on the IPSX sharing platform (VPN providers, Data Mining software, web crawling bots microtasks, etc). Alongside distributed storage and processing tools, IPSX will create the distributed network layer, becoming a crucial component for the next phase of the web.",IPSX,28th Feb 2018,5th Mar 2018,https://ip.sx
Other,,rightmesh,1,RightMesh AG is on a mission to connect the next billion people and lift 100 million out of poverty. We are putting the power of connectivity right into the hands of the people.,RMESH,,,https://www.rightmesh.io
Energy,,synthestech,1,Synthestech is a scientific research center engaged in technology development for synthesis of precious metals and valuable isotopes.,STT,1st Feb 2018,31st May 2018,https://ico.synthestech.com
