cat1,cat2,name,raised,desc,ticker,start,end,www,,
Communication,,review.network,1.5,"Review.Network is a project that aims to create a unique trusted high-intelligence user-company feedback platform based on blockchain and AI technologies. Review.Network provides direct communication between companies and customers, that helps carry on efficient top-tier market research feedback without any mediator. Our model also directly rewards participants for their valuable feedback. The platform's community can gain coins by producing content and working with quality reviews on the Review.Network platform. With the smart recommendation system implemented, it is easier for members to find the best goods and services with ease. The REW is the digital currency of the Review.Network platform. Companies purchase coins to conduct market research on the platform and reward users in exchange for the feedback they leave.",REW,1st Jun 2019,30th Sep 2019,https://review.network,Cyprus,https://review.network/static/assets/whitepaper/whitepaper.pdf
Cryptocurrency,,bitheum,,"Bitheum is a simple wealth creating Cryptocurrency with unique features meant for every smartphone users among crypto enthusiasts. If any crypto lover is bothered with thoughts of just keeping his own asset in his own wallet, thereby earning rewards as well, then Bitheum is ideal for such person. The coin Aims to make mining, staking and decentralization pure and convenient once again.",BTH,23rd Mar 2018,2nd May 2018,https://Bitheum.io,,
Cryptocurrency,,blackmoon,30,"We aim to create and maintain the world’s best framework for tokenized funds to deliver investment opportunities in both the real world and crypto economies. This brings blockchain flexibility to fiat instruments, and the benefits of accumulated financial wisdom to crypto investments.",BMC,12th Sep 2017,12th Oct 2017,https://blackmooncrypto.com,,
Cryptocurrency,,helioscoin,,"How to put together all these technological solutions in the mining of crypto currency? How not to worry about the cost and infinity of electricity? How not to worry about the need of regularly cleaning from the dust and dirt, or the farm ventilation and all fees themselves, do not worry about the availability of the Internet and the correct raye of currency for mining? We set that goal. And we achieved it. We combined solar panels, electricity storage system, immersion cooling, self mining, and added to this cocktail a self-learning control system that independently changes crypto-currencies for mining based on the situation on the market. The ideal system. As we wanted. And you'll like it too.",HLC,1st Jul 2018,1st Oct 2018,https://www.helioss.io,Cyprus,https://helioss.io/legal/whitepaper.pdf
Cryptocurrency,,taucoin,,"TAU proposes a fast circulation currency without inflation. Users collectively grow and secure the network by doing commoner's behavior-transactions. With the technology innovation of "Proof-of-Transaction", users with transaction history are incentivated by sharing the future block reward. No advantage is for concentrating wealth and hardware as in POS and POW. Low barrier to coins, voting and rewarding for commoners are TAU inplementation of fairness. Different from other systems, TAU aims the more transaction abundance, the higher speed and the lower total cost. ICO plan: TAU foundation will allocate 60,000 TAUcoins into ICO pool once every 360 blocks, about 6 hours. Investors receive TAUcoins by their portion of BTC investd to the total BTC received during the timeframe. In the case of no investments, the unattended coins will be added to the next ICO time frame.",TAU,18th Oct 2018,18th Oct 2019,https://taucoin.io,Cyprus,https://www.taucoin.io/whitePaper/TAU%20White%20Paper%20v0.1.pdf
Cryptocurrency,,value ticket coin,,Value Ticket is a disruptive technology for the Online Sports Betting and Gambling Industry. Value Ticket Coin VTT is a Cryptocurrency payment solution powered by blockchain technology.,VTT,1st May 2018,29th Jun 2018,https://www.valueticketico.com,,
Energy,,heptapolis humanitarian energy coin,,"Heptapolis’ Green Energy Solutions mission is to commercially apply and financially exploit newly established green innovative energy patents that will secure cheap energy for the user and will offer solutions to the world’s current environmental challenges. These newly established patents are connected to the energy production without the use of fossil fuels, and to the production of high quality green energy products that offer enormous energy savings through their innovative design. Also H.G.E.S. is developing and participating in various groundbreaking projects and patents like the Heptapolis Avatar E-Learning center, a project which aims to revolutionize the education system globally, through it’s anthropocentric and humanitarian nature. The financing required for the setting up of our factory and the initial operating costs of is planned to be covered by the issue of our Cryptocurrency, the HHEC token (Heptapolis Humanitarian Energy Coin)",HHEC,20th Jun 2018,30th Sep 2019,https://www.heptapolis.io,Cyprus,https://www.heptapolis.io/main/download/Whitepaper.pdf
Entertainment,,fire lotto,3.740965,"Fire Lotto is a modern blockchain lottery as simple and understandable as traditional lotteries are. 20 facts about Fire Lotto: 1. 100% decentralized lottery platform. Everything is built on ETH smart contracts. 2. Starting from 4 popular lottery games. 3. Minimum loosing combinations = real chances to win Jack Pot. 4. 70% of tickets sales go to Jack Pot. 5. Winnings are paid out automatically after each draw. 6. Lottery ticket starting price – 2 USD. 7. Ability to add more popular lottery games. 8. Play Fire Lotto from any device without an app. 9. Play in one click. 10. Payments are d totally secured and made in one click. 11. Transparent referral program. Join us and get up to 15% cashback for each ticket sold. 12. 10% commission payments to FLOT token holders provide an endless source of crypto income. 13. The prize pool can grow up millions and millions of dollars. 14. Random number generator is based on BTC blockchain. 15. Neither winning numbers nor lottery tickets can be faked. 16. No hidden charges, taxes and etc. 17. Fire Lotto platform cannot be shut down or effected anyway. 18. The Fire Lotto is totally anonymous. 19. GitHub open code. 20. The first internet community owned lottery.",FLOT,15th Mar 2018,15th Apr 2018,https://firelotto.io,,
Health,,nnbu,,"Backed by blockchain technology, NnBU’s world first, unique and revolutionary healthcare device will support C-section new-borns by giving a highly specialised massage of the torso, replicating various processes experienced during labour. A child born through caesarean may not experience the same stimulants of natural births and, in some cases, the breathing and hormonal processes may not be immediately initiated leading to problems in later life. Through a token pre-sale scheduled to run from Monday March 19 2018 to Sunday March 25 2018 and a main sale scheduled to run from Monday March 26 2018 to Wednesday April 25 2018, NnBU will issue passive income tokens which, in aggregate and assuming the target contribution is attained, 12.5% of the annual revenue will be distributed to token holders.",NNBU,26th Mar 2018,25th Apr 2018,https://nnbu.io,,
Health,,vr med,,"VR MED is the first medical device in the world to employ VR technology for a wide range of uses. It has similar success not only in ophthalmology, but also neurology and rehabilitation. All you need for the transformation is to put in the required software and configure the system.This equipment covers a large part of the clinic’s needs with VR technology.Today, the VR headset is capable of replacing 40% of all instrument functionality ophthalmology room, having a cost of 6 times less than the cost equipment Golden Standard"". Development of new directions of diagnostics and treatment of patients is conducted.The technology is patented. VRMD tokens will become an internal currency of the platform"," allowing users to get software to extend the functionality of the gadget and support new developments on the platform.""",VRMD,7th Jun 2018,5th Jul 2018,http://vrmed.io,
Infrastructure,,gese,,"The Gese blockchain-platform is a worldwide database of all alcoholic beverages, allowing users to quickly select a quality product that matches their taste preferences. Searching for information has never been easier: now, to get a complete product content information, a consumer just needs to place his smartphone over the NFC-label attached to the bottle. Gese will help the consumer make the right choices even before going to the store: the application will recommend alcoholic drinks based on the user's past preferences, show current reviews and help find the most optimal options from local stores. The buyer can verify the product authenticity by simply taking the bottle from the counter and placing his smartphone over the NFC-tag. Subsequently, the Gese user will be able to get a reward for writing a review about the purchased beverage and handing over the used packaging at a designated recycling point. Thus, the platform accompanies the buyer not only before, but also after the product purchase, thereby encouraging his activity within the system.",GSE Token,15th Apr 2019,1st May 2019,https://gese.io,Cyprus,https://drive.google.com/file/d/1AZTWSnpttM6c2MmjfHXyAPbftly4-Ke5/view
Infrastructure,,go cubo lodge club,,"GO CUBO LODGE CLUB is an alternative vocational and business trip ecosystem that tokenizes and makes available wide choice of locations for residence, flexible time occupation, anonymity, reasonable price and accommodation in modern technological lodges. Comfortable lodge accommodation all around the world and decentralized infrastructure on the base of IoT solution with Blockchain 3.0 elements(Atomic Swap functions).",GO,6th Mar 2018,29th May 2018,https://goclc.io,,
Investment,,cryptohit,1.080412,"CryptoHIT intends to create a transparent and entirely decentralized platform for various gaming projects using the power of blockchain technology and smart contracts on Ethereum. Our mission is to create an easy-to-use, effective and financially profitable ecosystem for gamers and game developers. Predominantly, CryptoHIT platform will support decentralized games based on Ethereum blockchain, which are already under development – while many game studios that have nothing to do with blockchain are trying to integrate their own gaming platforms to a decentralized platform. In addition, CryptoHIT develops financial games with special game mechanics, which allows players to earn real money and not only play for fun and pleasure. This means that each participant of the project can start receiving their return on investment in our games before CryptoHIT decentralized platform launches.",GAC,13th Jul 2018,10th Oct 2018,https://www.cryptohit.io,Cyprus,https://cryptohit.io/docs/CryptoHIT_White_Paper_EN_2018.pdf?v=20180329
Investment,,hackspace,49.775643,Hackspace Capital is a fund based platform that finances innovative hardware startup teams with cutting edge products and technologies.,HAC,19th Sep 2017,28th Apr 2018,https://hackspace.capital,Cyprus,https://hackspace.capital/whitepaper_hackspace_EN.pdf
Investment,,smartlands,1.753698,"The platform will eliminate the barriers for investors from all over the world and provide unique opportunity to finance the introduction of agtech innovations by applying blockchain technology to solve problems typical for classical financial markets. Thus, the functioning of the Platform will have a positive impact on the achievement of sustainable development of agriculture and the world economy in general.",SLT Token,2nd Nov 2017,20th Nov 2017,https://smartlands.io,Cyprus,https://smartlands.io/documents/White_paper_2208.pdf
Manufacturing,,agrotechfarm,0.58105,"AgroTechFarm is the revolutionary fully automated intelligent appliance powered by blockchain and patented technology for the industrial cultivation of popular and unique species of various types of greens, vegetables and fruit all year round and regardless of climate conditions. Our mission is to supply the world with 100% healthy food through the use of the latest technology and blockchain.",ATF,23rd Jul 2018,30th Sep 2018,https://www.agrotechfarm.io/?utm_source=Ico&utm_medium=Rating&utm_campaign=ico.tokens-economy.com-com,Cyprus,https://agrotechfarm.io/wp_atf.pdf
Manufacturing,,bittech,,"BITTECH has opened large cryptocurrency data-processing centres (DPC) in Iceland, Estonia, Canada, and Russia. Every DPC is a professionally arranged platform for the Bittech One miner that includes our own, cutting-edge, 14 nm chip. Every DPC is a legal platform for cryptocurrency mining. BITTECH company has tried its best to develop infrastructure and technologies that make the mining process as simple and convenient as possible. Customers who choose our company get extensive service of the highest quality.",BTECH,20th Aug 2018,19th Nov 2018,https://ico.bittech.cn.com,Cyprus,https://ico.bittech.cn.com/img/white-paper-en.pdf
Platform,,coinjanitor,2.5,"With more than 4,500 cryptocurrencies in circulation, there are bound to be many that are functionally dead. This presents many challenges for cryptocurrency markets, as well as for the users of those currencies. Those users have their money locked in a network that doesn’t allow them to transact, or a currency that is not tradeable. Cryptocurrency markets on the other hand, suffer from dilution of resources and reputational issues due to the sheer number of unusable coins. CoinJanitor aims to solve these problems by unlocking trapped value in these projects and at the same time create the much-needed public discussion of how best to recycle value from failed projects in the future. CoinJanitor will achieve this by taking over failed projects. To do this we will exchange CoinJanitor tokens (JAN) for the delisted coins that users hold. We will then proceed to burn those tokens and coins that we acquire.",JAN,1st May 2018,31st May 2018,https://www.coinjanitor.io,,
Platform,,nd invest,,"ND INVEST is a platform for instant purchases of real estate, cars, furniture and services at discounted and promotional prices. By signing the preliminary purchase agreement and paying the deposit upfront using ND tokens via our application or web page, the customer retains the ownership right for the asset, the pre-approved price and conditions of the deal. The remaining part of the asset price the buyer pays in fiat or another cryptocurrency.",NDC,20th Oct 2018,30th Jun 2019,https://www.ndinvest.ltd,Cyprus,https://www.ndinvest.ltd/docs/en/whitepaper.pdf
Platform,,sportco,0.15,"Sportco aims to solve the problem of centralised Sports media where sports fans are not rewarded for their passion and contribution. This is resolved by granting Sports fans Sportco coins for their contributions. Sportco has product platforms where 500,000 sports fans are present. It is the ambition to have a single Sportco platform and reach 5 million fans in the next 4 years. Sportsfans will be able to use their Sportco coins to play quizzes, e-games, buy merchandise and sports tickets.",SPCO,1st Aug 2018,31st Aug 2018,https://www.sportco.io,Cyprus,https://sportco.io/assets/whitepaper.pdf
Retail,,wixlar coin ico,,"With Wixlar coins, you can buy and sell products or services online and offline. Wixlar Group offers some of the latest advanced technological services through a Global Decentralized Network. Then you will realize that we have been actively sponsoring and participating in major global events since August 2017 as well as already existing physical offices that invited and accommodated businessmen and companies from different parts of the world that will be partnering with Wixlar.",WIX,15th Apr 2018,30th Jun 2018,https://wixlar.com,,
Sports,,playrs,,"Playrs is introducing an innovative analysis mechanism which will provide a groundbreaking approach and a new way of looking at the game - rigorous analysis tools for players will be available to every segment of the sport industry. Fans will no longer be just viewers, but contribute to the valuation process of athletes by giving their input.",PLAYR,19th Jul 2018,5th Aug 2018,https://www.playrs.io,Cyprus,https://www.playrs.io/whitepaper-playrs.io.pdf
Tourism,,acomobase,,"New technology is now challenging and exposing the major drawbacks and frictions of the current outdated travel and hospitality business model which is more than a decade old and is being burdened unnecessarily with avoidable non-transparent fees, expensive long payment processes and lack of personalization.",ACO,1st Feb 2018,1st Jun 2018,https://acomobase.com,,
