cat1,cat2,name,raised,desc,ticker,start,end,www
UK,,litebolt,,"This year, Litebolt will offer Litebolt Products such as mining equipment, Trading Bots and Mining Contracts to the market. LBT Coin will be the cryptocurrency of Litebolt, where users will be able to purchase Litebolt products such as Cloud Mining Contracts and Algorithmic Trading Bots. As shown in our Roadmap, Litebolt will then form the Litebolt Exchange – a 40+ cryptocurrency exchange where users will be able to trade a variety of cryptocurrencies. Eventually this exchange will also see Fiat integration which means users will be able to Buy/Sell their cryptocurrencies in exchange for Fiat. Litebolt will also be forming LiteHash – the Litebolt Mining Pool. With the expansion of the Litebolt Mining Facility in Northern Europe as well as having a large user base, Litebolt will have the perfect foundation for forming multiple mining pools e.g SHA-256, SCRYPT, Blake 14R etc. for Litebolt users.",LBT,25th May 2018,15th Oct 2018,https://litebolt.io,UK,https://s3.us-east-2.amazonaws.com/litebolt/adminImages/1527184197Litebolt%20Whitepaper%20V.1.0.1.pdf
UK,,loyakk,16.2,"Loyakk is a blockchain-enabled platform for enterprise business networks that enables enterprises (or companies) to engage with their network of business partners with greater security, efficiency and governance. With Loyakk, businesses can now combine blockchain with relationship management capabilities to address critical challenges they face in b2b engagement, including data / IP theft, data reconciliation, contract execution and disputes, while ensuring compliance to business rules across the network. This leads to significantly reduced operational friction costs and revenue leaks, while accelerating business revenues.",LYK,15th Jun 2018,31st Oct 2018,http://www.loyakk.io,UK,https://loyakk.io/wp-content/uploads/2018/03/Loyakk-Vega-Business-Overview-O22.1.pdf
UK,,properbuz,,"Properbuz is a free global property marketplace and a social network for the real estate industry, which enables property buyers and renters to find ideal matches for their needs, and is already available in fifteen languages, and in more than 50 countries. Properbuz aims to decentralize a $217 trillion global real estate market by developing a blockchain-based decentralized protocol which offers other possibilities, more privacy, a more reliable service, and increased security for the real estate industry. Transacting real estate is cumbersome, opaque and expensive because of middlemen: Brokers, Government property databases, Title companies: Insurance and property databases, Escrow companies, Inspectors and appraisers, Notary publics etc. Properbuz blockchain technology will disintermediate many of them that means cutting out the middleman and it will also transform real estate in the following five ways: Disintermediation, Fraud prevention, Money, Time saving, Peer to Peer.",XPZ,25th Jun 2018,31st Oct 2018,https://www.properbuz.com/ico,UK,https://www.properbuz.com/pdf/Properbuz%20ICO%20White%20Paper%2023%20March%202018%20.pdf
UK,,tokenaire,,"Receive your own Personalized Tokens. Share them with your followers based on their importance to you, to reward them, or sell them on our Marketplace. We offer easy means to find and contact your biggest fans. We offer a Poll-Platform for you and your token holders, where each vote is weighted by the amount of the voter's token-holdings. This means people most important to you have a bigger say in the outcome of the poll. Store text, images and even videos immutably and irreversibly directly on the Blockchain and linked to your Personalized Tokens. Unlike solutions like STORJ which only store the file-hash on-chain while storing the actual data off-chain, we store the entire file on-chain. ~400x cheaper than on Ethereum.",AIRE,1st Oct 2018,31st Oct 2018,https://www.tokenaire.club,UK,https://www.tokenaire.club/assets/pdf/tokenaire-whitepaper.pdf
UK,,turbotradecoin,,"TurboTradeCoin is the Next Generation of Artificial Intelligence based Mirror Trading and Investment using a robust arbitrage algorithm to match and surpass the most profitable traders across the top 5 exchanges in BTC and ETH volume.",TTC Token,17th Feb 2018,5th Oct 2018,https://www.turbotradecoin.com,UK,https://turbotradecoin.com/assets/files/white-paper.pdf
UK,,znaq,,"ZNAQ is the first crypto index traded as a token. ZNAQ Index reflects cryptocurrency market capitalization. It gives you possibility to invest in the entire cryptocurrency market with only one token. ZNAQ Exchange – An official exchange platform for trading ZNAQ Tokens. It supports 20 different currencies and provides users with a safe and easy way to trade. ZNAQ Cryptex - allows to trade different cryptocurrency pairs, indices and other trading products in the form of a Futures Contract with a leverage of up to 100x. ZNAQ Analytics - provides technical analysis, forecasts and reports, community discussion rooms and a unique platform for assembling and analyzing multi-currency portfolios.",ZNAQ,1st Oct 2018,31st Oct 2018,https://znaq.org,UK,https://znaq.org/whitepaper
USA,,100tokens,,"We believe that coin exchange value is strongly connected with it's utilization strategy. That's why we propose you a coin which can be used as a payment option in at least 100 companies.",OHC,10th Oct 2018,30th Oct 2018,https://100tokens.com,USA,https://100tokens.com/100tokens_whitepaper.pdf
USA,,arevalor,,"Arevalor is a company focused on bringing real estate to the blockchain with a realistic, real world approach. Arevalor aims to provide a one-stop real estate marketplace and registry that leverages the power of blockchain technology. The Arevalor Platform will reduce costs and transaction times over current processes, while increasing security and transparency.",ORB Token,24th Sep 2018,15th Oct 2018,https://arevalor.com,USA,https://arevalor.com/Arevalor%20Whitepaper%201.0.pdf
USA,,bitcqr,10.0,"BitCQR is a Military-Grade global Cybersecurity solutions provider with a world-class team comprised of former US INFOSEC (Information Security) Special Agents, former UK Special Forces, Doctoral researchers, and global influencers. Our cybersecurity service and offering will complement existing and future businesses, by adding an additional cybersecurity and physical security protection layer to their infrastructure. While blockchain technology is built on robust cryptography, our computing devices such as servers, laptops, mobile devices are still inherently insecure. Without proper cyber protection, our digital value and digital lives are still exposed. BitCQR offers advanced security services to governments, businesses, Initial Coin Offerings and most importantly YOU, the consumer. Prior to the existence of BitCQR, robust comprehensive information and tactical security were only accessible to governments and large enterprises due to high costs.",BCQR,20th Apr 2018,30th Oct 2018,https://www.bitcqr.io,USA,https://bitcqr.io/BITCQR-White_Paper_2018.pdf
USA,,bitfence,,"Problem: 100% of companies in the world are getting attacked by the hackers and the average detection time is 256 days (2015 Ponemon Report) leading to enormous economic and privacy damages. Similar attacks repeated against multiple targets before they are detected, understood and mitigated. Solution: BitFence Detects, deflects, and counteracts attempts at unauthorized use of information systems and gives your security team an unfair advantage over hackers. HNY Token: Community members ""mine"" hackers by running honeynet nodes are rewarded with HNY tokens. We correlate information together and provide 0-day threat feeds to customers who can purchase subscription with HNY tokens. Patent pending.",HNY,1st May 2018,1st Oct 2018,https://bitfence.io,USA,https://bitfence.io/data/BitFenceWP-EN-1.6b.pdf
USA,,careparrot,,"CareParrot is a gamified health care protocol that tokenizes user data and interactions with the apps built within the CareParrot network. Our goal is to create a universal health care ecosystem (mesh network) where Doctors, patients and third-party apps interact on a peer-to-peer level and collaborate more efficiently.",CPX,23rd Jul 2018,31st Oct 2018,https://careparrot.com,USA,https://careparrot.com/wp-content/uploads/2018/09/CareParrot-whitepaper-V2.pdf
USA,,citizen healthsto,0.118887,"We’re capitalizing on the growing trends toward free-market medicine, the rise of Direct Patient Care, and the frustration people face from confusing medical bills & rising premiums. Utilizing the latest advances in blockchain technologies, wearables, and machine learning, we’re solving core problems to reinvent the way healthcare services are offered and purchased. Our foundational developments: 1. Humantiv, a collaborative operating system designed to optimize health & wellness by incentivizing people to pursue healthy lifestyles with the help of wearable technology. 2. Medoplex, an open & transparent marketplace where healthcare buyers & sellers transact directly in a free market economy without insurance intermediaries. 3. “Health as a Service,” personalized subscriptions for health & wellness based on members’ genetics, microbiomics, wearable data, and medical records.",MDX Token,15th Mar 2018,21st Oct 2018,https://citizenhealth.io,USA,https://docs.google.com/document/d/1io0SMhX6udwhrqBZmnl_8u37012yUNMXHwagdPky5_8/edit?usp=sharing
USA,,conventment,,"We're building the world's first IoT-based logistics platform for the legal cannabis industry.",CNVT,30th Sep 2018,14th Oct 2018,https://conventment.com,USA,https://dlacenter.com/conventment/conventment_whitepaper.pdf
USA,,miami crypto exchangesto,,"Miami Crypto Exchange (MCEX) is leading the charge to transform financial investments and instruments into compliant tokens uniquely providing a single trading platform for security tokens and cryptocurrencies with the ease of liquidity to US dollars and providing a gateway to Latin American markets and the world. MCEX is a fully-compliant-focused security token and cryptocurrency exchange platform equipped with a Florida Money Transmission license and FinCen registration allowing its proprietary and secure Mecury Cash wallet to provide immediate access to US-dollar liquidity.",MCEX,17th Apr 2018,17th Oct 2018,https://www.miami.exchange,USA,https://miami.exchange/documents/MCEX_WhitePaper_v3_2.pdf
USA,,neluns,136.0,"Neluns is the innovative financial ecosystem, combining within itself a bank that can work with fiat and cryptocurrencies, as well as a cryptocurrency exchange and insurance company, creating the best conditions for the quality development of the cryptocurrency market, inflow of new participants and capital.",NLS,5th Sep 2018,5th Oct 2018,https://neluns.io,USA,https://neluns.io/static/ver165/whitepaper/whitepaper.pdf
USA,,out of the cloud,,"OutCloud Systems, Inc. isredefining the file sharing industry and setting the new standard for how people are sending and receiving large files. The current leading file sharing services are using technology that by today’s standards would be considered primitive at best. Instead of creating new platforms, they have built upon old and outdated ones allowing for OutCloud Systems, Inc. to lead the way as the next generation in file sharing technology.",OUT Token,11th Sep 2018,19th Oct 2018,https://www.outofthecloud.io,USA,https://www.outofthecloud.io/OutCloud_Systems_White_Paper.pdf
USA,,philanthor,,"Philanthor is a Philanthropy Foundation that runs over blockchain and makes it possible for everyone to become a philanthropist. Phlianthor is a collective mind of our member's beliefs of how a better world should look like translated into a DAO system. Based on the member's choices we allocate funds to grants, charities and causes and other areas that needs to be fixed to improve life on earth, and we analyse the data to measure the social impact of our work.",PTH,1st Sep 2018,31st Oct 2018,https://www.philanthor.com,USA,https://www.philanthor.com/assets/whitepaper.pdf
USA,,stream41,,"We are developing a decentralized, peer-to-peer, live-video-streaming platform, for all content producers and content viewers. Our mission is to develop, a live-video-streaming platform, where EVERYONE,-average people, people like you and me, can benefit, and not just the most popular celebrities, and, the most popular, content-sharing organizations.",STRM41,22nd May 2018,22nd Oct 2018,http://www.stream41.com/index.html,USA,http://stream41.com/downloads/whitepaper.pdf
USA,,stream41,,"We are developing a decentralized, peer-to-peer, live-video-streaming platform, for all content producers and content viewers. Our mission is to develop, a live-video-streaming platform, where EVERYONE,-average people, people like you and me, can benefit, and not just the most popular celebrities, and, the most popular, content-sharing organizations.",STRM41,22nd May 2018,22nd Oct 2018,http://www.stream41.com/index.html,USA,https://stream41.com/downloads/whitepaper.pdf
USA,,vu,,"Virtual Universe (VU) is an epic, story-driven open world game in LivingVR™ powered by artificial intelligence (AI), virtual reality (VR), and blockchain technologies.",VU,1st Oct 2018,31st Oct 2018,https://www.vutoken.io,USA,https://www.vutoken.io/whitepaper
USA,,yutu.coin,,"YuTü.Co.in is a novel platform dedicated to bringing monetization back to YouTubers via cryptocurrency. We offer YouTube channel managers the opportunity to "crypto-commoditize" their YouTube channel by creating their own cryptocurrency token for them. These coins can be traded for an Ethereum token, named YuTüCoin (YTC), on our in-house exchange, which can then be traded at any number of outside exchanges for ETH, BTC and whatever other pairings are available. In addition to providing a new source of funds for YouTubers, we also allow the opportunity for their fans to show their support by purchasing the coin(s) of their favorite YouTuber(s), or even mine the coins directly. Thus, anyone can "invest" in a coin that represents a YouTube channel brand and trade it on a free market exchange. In addition to the above, we provide all participating channel managers with their own page on our platform which they can use to sell merchandise, communicate with their fans and host any content of their choice. In short, YuTü.Co.in aims to re-empower the many YouTubers who are no longer eligible for YouTube's monetization programs and give their fans the opportunity to "invest" in their channel brand.",YTC,9th Aug 2018,13th Oct 2018,http://www.yutubopolis.com,USA,https://www.yutubopolis.com/white-paper.pdf
USA,,yutu.coin,3.2,"YuTü.Co.in is a novel platform dedicated to bringing monetization back to YouTubers via cryptocurrency. We offer YouTube channel managers the opportunity to "crypto-commoditize" their YouTube channel by creating their own cryptocurrency token for them. These coins can be traded for an Ethereum token, named YuTüCoin (YTC), on our in-house exchange, which can then be traded at any number of outside exchanges for ETH, BTC and whatever other pairings are available. In addition to providing a new source of funds for YouTubers, we also allow the opportunity for their fans to show their support by purchasing the coin(s) of their favorite YouTuber(s), or even mine the coins directly. Thus, anyone can "invest" in a coin that represents a YouTube channel brand and trade it on a free market exchange. In addition to the above, we provide all participating channel managers with their own page on our platform which they can use to sell merchandise, communicate with their fans and host any content of their choice. In short, YuTü.Co.in aims to re-empower the many YouTubers who are no longer eligible for YouTube's monetization programs and give their fans the opportunity to "invest" in their channel brand.",YTC,9th Aug 2018,13th Oct 2018,http://www.yutubopolis.com,USA,https://www.yutubopolis.com/white-paper.pdf
